Caceis_AlgoId;Broker_AlgoId;BrokerId;Caceis_AlgoParameters;Broker_AlgoParameters
VWAP;VWAP;Broker_Knight;EFFECTIVETIME;KcgStartTime
VWAP;VWAP;Broker_Knight;EXPIRETIME;KcgEndTime
VWAP;VWAP;Broker_Knight;PARTICIPATIONRATE;MaxVol
VWAP;VWAP;Broker_Knight;WOULDPRICE;IWouldPrice
VWAP;VWAP;Broker_Knight;EXCLUDEOPENINGAUCTION;OnOpen
VWAP;VWAP;Broker_Knight;EXCLUDECLOSINGAUCTION;OnClose
TWAP;TWAP;Broker_Knight;EFFECTIVETIME;KcgStartTime
TWAP;TWAP;Broker_Knight;EXPIRETIME;KcgEndTime
TWAP;TWAP;Broker_Knight;PARTICIPATIONRATE;MaxVol
TWAP;TWAP;Broker_Knight;WOULDPRICE;IWouldPrice
TWAP;TWAP;Broker_Knight;EXCLUDEOPENINGAUCTION;OnOpen
TWAP;TWAP;Broker_Knight;EXCLUDECLOSINGAUCTION;OnClose
PCTVOLUME;SMART-VTRACK;Broker_Knight;EFFECTIVETIME;KcgStartTime
PCTVOLUME;SMART-VTRACK;Broker_Knight;EXPIRETIME;KcgEndTime
PCTVOLUME;SMART-VTRACK;Broker_Knight;PARTICIPATIONRATE;MaxVol
PCTVOLUME;SMART-VTRACK;Broker_Knight;WOULDPRICE;IWouldPrice
PCTVOLUME;SMART-VTRACK;Broker_Knight;EXCLUDEOPENINGAUCTION;OnOpen
PCTVOLUME;SMART-VTRACK;Broker_Knight;EXCLUDECLOSINGAUCTION;OnClose
INLINE;SUMO;Broker_Knight;EFFECTIVETIME;KcgStartTime
INLINE;SUMO;Broker_Knight;EXPIRETIME;KcgEndTime
INLINE;SUMO;Broker_Knight;WOULDPRICE;IWouldPrice
INLINE;SUMO;Broker_Knight;EXECUTIONSTYLE;Style
INLINE;SUMO;Broker_Knight;EXCLUDEOPENINGAUCTION;OnOpen
INLINE;SUMO;Broker_Knight;EXCLUDECLOSINGAUCTION;OnClose
INLINE;SUMO;Broker_Knight;PARTICIPATIONRATE;MaxVol
LIQUIDITYSEEKER;FAN;Broker_Knight;EXECUTIONSTYLE;Style
LIQUIDITYSEEKER;FAN;Broker_Knight;EXCLUDEOPENINGAUCTION;OnOpen
LIQUIDITYSEEKER;FAN;Broker_Knight;EXCLUDECLOSINGAUCTION;OnClose
LIQUIDITYSEEKER;FAN;Broker_Knight;PARTICIPATIONRATE;MaxVol
LIQUIDITYSEEKER;FAN;Broker_Knight;WOULDPRICE;IWouldPrice
DARK;COVERT;Broker_Knight;EXECUTIONSTYLE;Style
DARK;COVERT;Broker_Knight;WOULDPRICE;IWouldPrice
SHORTFALL;ARRIVAL-PRICE;Broker_Knight;EFFECTIVETIME;KcgStartTime
SHORTFALL;ARRIVAL-PRICE;Broker_Knight;EXCLUDEOPENINGAUCTION;OnOpen
SHORTFALL;ARRIVAL-PRICE;Broker_Knight;EXCLUDECLOSINGAUCTION;OnClose
SHORTFALL;ARRIVAL-PRICE;Broker_Knight;PARTICIPATIONRATE;MaxVol
SHORTFALL;ARRIVAL-PRICE;Broker_Knight;WOULDPRICE;IWouldPrice
SHORTFALL;ARRIVAL-PRICE;Broker_Knight;EXECUTIONSTYLE;Style
SHORTFALL;ARRIVAL-PRICE;Broker_Knight;EXPIRETIME;KcgEndTime
VWAP;VWAP;Broker_UBS;EFFECTIVETIME;StartTime
VWAP;VWAP;Broker_UBS;EXPIRETIME;EndTime
VWAP;VWAP;Broker_UBS;PARTICIPATIONRATE;MaxPctVolume
VWAP;VWAP;Broker_UBS;WOULDPRICE;Completion_Price
VWAP;VWAP;Broker_UBS;EXCLUDEOPENINGAUCTION;IncludeOpen
VWAP;VWAP;Broker_UBS;EXCLUDECLOSINGAUCTION;IncludeClose
TWAP;TWAP;Broker_UBS;EFFECTIVETIME;StartTime
TWAP;TWAP;Broker_UBS;EXPIRETIME;EndTime
TWAP;TWAP;Broker_UBS;PARTICIPATIONRATE;MaxPctVolume
TWAP;TWAP;Broker_UBS;WOULDPRICE;Completion_Price
TWAP;TWAP;Broker_UBS;EXCLUDEOPENINGAUCTION;IncludeOpen
TWAP;TWAP;Broker_UBS;EXCLUDECLOSINGAUCTION;IncludeClose
PCTVOLUME;INLINE;Broker_UBS;EFFECTIVETIME;StartTime
PCTVOLUME;INLINE;Broker_UBS;EXPIRETIME;EndTime
PCTVOLUME;INLINE;Broker_UBS;PARTICIPATIONRATE;MaxPctVolume
PCTVOLUME;INLINE;Broker_UBS;WOULDPRICE;Completion_Price
PCTVOLUME;INLINE;Broker_UBS;EXECUTIONSTYLE;Urgency
PCTVOLUME;INLINE;Broker_UBS;EXCLUDEOPENINGAUCTION;IncludeOpen
PCTVOLUME;INLINE;Broker_UBS;EXCLUDECLOSINGAUCTION;IncludeClose
STOP;EQU - SORTDMA;Broker_MS;NONE;NONE
ICEBERG;EQU - SORTDMA;Broker_MS;DISPLAYQUANTITY;DisplaySize
INLINE;AP;Broker_UBS;EFFECTIVETIME;StartTime
INLINE;AP;Broker_UBS;EXPIRETIME;EndTime
INLINE;AP;Broker_UBS;WOULDPRICE;Completion_Price
INLINE;AP;Broker_UBS;EXECUTIONSTYLE;Urgency
INLINE;AP;Broker_UBS;EXCLUDEOPENINGAUCTION;IncludeOpen
INLINE;AP;Broker_UBS;EXCLUDECLOSINGAUCTION;IncludeClose
INLINE;AP;Broker_UBS;PARTICIPATIONRATE;MaxPctVolume
LIQUIDITYSEEKER;TAP;Broker_UBS;EFFECTIVETIME;StartTime
LIQUIDITYSEEKER;TAP;Broker_UBS;EXPIRETIME;EndTime
LIQUIDITYSEEKER;TAP;Broker_UBS;EXECUTIONSTYLE;Urgency
LIQUIDITYSEEKER;TAP;Broker_UBS;EXCLUDEOPENINGAUCTION;IncludeOpen
LIQUIDITYSEEKER;TAP;Broker_UBS;EXCLUDECLOSINGAUCTION;IncludeClose
LIQUIDITYSEEKER;TAP;Broker_UBS;PARTICIPATIONRATE;MaxPctVolume
LIQUIDITYSEEKER;TAP;Broker_UBS;WOULDPRICE;Completion_Price
SHORTFALL;PRISM;Broker_UBS;EFFECTIVETIME;StartTime
SHORTFALL;PRISM;Broker_UBS;EXCLUDEOPENINGAUCTION;IncludeOpen
SHORTFALL;PRISM;Broker_UBS;EXCLUDECLOSINGAUCTION;IncludeClose
SHORTFALL;PRISM;Broker_UBS;PARTICIPATIONRATE;MaxPctVolume
SHORTFALL;PRISM;Broker_UBS;WOULDPRICE;Completion_Price
SHORTFALL;PRISM;Broker_UBS;EXECUTIONSTYLE;Urgency
SHORTFALL;PRISM;Broker_UBS;EXPIRETIME;EndTime
ONCLOSE;ATCLOSE;Broker_UBS;EFFECTIVETIME;StartTime
ONCLOSE;ATCLOSE;Broker_UBS;EXPIRETIME;EndTime
ONCLOSE;CLOSE;Broker_MS;EFFECTIVETIME;STARTTIME
ONCLOSE;CLOSE;Broker_MS;EXPIRETIME;ENDTIME
DARK;NV;Broker_MS;EFFECTIVETIME;STARTTIME
